year,period,periodName,latest,value,item
2024,M05,May,true,0.622,Bananas (pound)
2024,M04,April,NA,0.626,Bananas (pound)
2024,M03,March,NA,0.629,Bananas (pound)
2024,M02,February,NA,0.625,Bananas (pound)
2024,M01,January,NA,0.617,Bananas (pound)
2023,M12,December,NA,0.625,Bananas (pound)
2023,M11,November,NA,0.627,Bananas (pound)
2023,M10,October,NA,0.626,Bananas (pound)
2023,M09,September,NA,0.625,Bananas (pound)
2023,M08,August,NA,0.631,Bananas (pound)
2023,M07,July,NA,0.631,Bananas (pound)
2023,M06,June,NA,0.625,Bananas (pound)
2023,M05,May,NA,0.628,Bananas (pound)
2023,M04,April,NA,0.635,Bananas (pound)
2023,M03,March,NA,0.632,Bananas (pound)
2023,M02,February,NA,0.641,Bananas (pound)
2023,M01,January,NA,0.639,Bananas (pound)
2022,M12,December,NA,0.628,Bananas (pound)
2022,M11,November,NA,0.631,Bananas (pound)
2022,M10,October,NA,0.634,Bananas (pound)
2022,M09,September,NA,0.643,Bananas (pound)
2022,M08,August,NA,0.643,Bananas (pound)
2022,M07,July,NA,0.640,Bananas (pound)
2022,M06,June,NA,0.640,Bananas (pound)
2022,M05,May,NA,0.642,Bananas (pound)
2022,M04,April,NA,0.637,Bananas (pound)
2022,M03,March,NA,0.642,Bananas (pound)
2022,M02,February,NA,0.628,Bananas (pound)
2022,M01,January,NA,0.630,Bananas (pound)
2021,M12,December,NA,0.622,Bananas (pound)
2021,M11,November,NA,0.619,Bananas (pound)
2021,M10,October,NA,0.600,Bananas (pound)
2021,M09,September,NA,0.597,Bananas (pound)
2021,M08,August,NA,0.589,Bananas (pound)
2021,M07,July,NA,0.594,Bananas (pound)
2021,M06,June,NA,0.595,Bananas (pound)
2021,M05,May,NA,0.600,Bananas (pound)
2021,M04,April,NA,0.604,Bananas (pound)
2021,M03,March,NA,0.594,Bananas (pound)
2021,M02,February,NA,0.590,Bananas (pound)
2021,M01,January,NA,0.597,Bananas (pound)
2020,M12,December,NA,0.572,Bananas (pound)
2020,M11,November,NA,0.578,Bananas (pound)
2020,M10,October,NA,0.577,Bananas (pound)
2020,M09,September,NA,0.574,Bananas (pound)
2020,M08,August,NA,0.576,Bananas (pound)
2020,M07,July,NA,0.580,Bananas (pound)
2020,M06,June,NA,0.588,Bananas (pound)
2020,M05,May,NA,0.589,Bananas (pound)
2020,M04,April,NA,0.581,Bananas (pound)
2020,M03,March,NA,0.576,Bananas (pound)
2020,M02,February,NA,0.574,Bananas (pound)
2020,M01,January,NA,0.570,Bananas (pound)
2019,M12,December,NA,0.573,Bananas (pound)
2019,M11,November,NA,0.573,Bananas (pound)
2019,M10,October,NA,0.573,Bananas (pound)
2019,M09,September,NA,0.569,Bananas (pound)
2019,M08,August,NA,0.578,Bananas (pound)
2019,M07,July,NA,0.569,Bananas (pound)
2019,M06,June,NA,0.574,Bananas (pound)
2019,M05,May,NA,0.579,Bananas (pound)
2019,M04,April,NA,0.567,Bananas (pound)
2019,M03,March,NA,0.581,Bananas (pound)
2019,M02,February,NA,0.571,Bananas (pound)
2019,M01,January,NA,0.576,Bananas (pound)
2024,M05,May,true,5.148,Ground Beef
2024,M04,April,NA,5.236,Ground Beef
2024,M03,March,NA,5.132,Ground Beef
2024,M02,February,NA,5.132,Ground Beef
2024,M01,January,NA,5.030,Ground Beef
2023,M12,December,NA,5.210,Ground Beef
2023,M11,November,NA,5.353,Ground Beef
2023,M10,October,NA,5.226,Ground Beef
2023,M09,September,NA,5.109,Ground Beef
2023,M08,August,NA,5.076,Ground Beef
2023,M07,July,NA,5.102,Ground Beef
2023,M06,June,NA,5.028,Ground Beef
2023,M05,May,NA,4.960,Ground Beef
2023,M04,April,NA,4.790,Ground Beef
2023,M03,March,NA,4.813,Ground Beef
2023,M02,February,NA,4.778,Ground Beef
2023,M01,January,NA,4.791,Ground Beef
2022,M12,December,NA,4.800,Ground Beef
2022,M11,November,NA,4.853,Ground Beef
2022,M10,October,NA,4.836,Ground Beef
2022,M09,September,NA,4.862,Ground Beef
2022,M08,August,NA,4.937,Ground Beef
2022,M07,July,NA,4.893,Ground Beef
2022,M06,June,NA,4.889,Ground Beef
2022,M05,May,NA,4.794,Ground Beef
2022,M04,April,NA,4.916,Ground Beef
2022,M03,March,NA,4.757,Ground Beef
2022,M02,February,NA,4.630,Ground Beef
2022,M01,January,NA,4.554,Ground Beef
2021,M12,December,NA,4.604,Ground Beef
2021,M11,November,NA,4.716,Ground Beef
2021,M10,October,NA,4.719,Ground Beef
2021,M09,September,NA,4.504,Ground Beef
2021,M08,August,NA,4.468,Ground Beef
2021,M07,July,NA,4.388,Ground Beef
2021,M06,June,NA,4.357,Ground Beef
2021,M05,May,NA,4.101,Ground Beef
2021,M04,April,NA,4.096,Ground Beef
2021,M03,March,NA,4.042,Ground Beef
2021,M02,February,NA,3.987,Ground Beef
2021,M01,January,NA,3.965,Ground Beef
2020,M12,December,NA,3.951,Ground Beef
2020,M11,November,NA,4.027,Ground Beef
2020,M10,October,NA,4.008,Ground Beef
2020,M09,September,NA,4.076,Ground Beef
2020,M08,August,NA,4.177,Ground Beef
2020,M07,July,NA,4.264,Ground Beef
2020,M06,June,NA,4.737,Ground Beef
2020,M05,May,NA,4.461,Ground Beef
2020,M04,April,NA,4.052,Ground Beef
2020,M03,March,NA,3.881,Ground Beef
2020,M02,February,NA,3.865,Ground Beef
2020,M01,January,NA,3.886,Ground Beef
2019,M12,December,NA,3.862,Ground Beef
2019,M11,November,NA,3.812,Ground Beef
2019,M10,October,NA,3.841,Ground Beef
2019,M09,September,NA,3.851,Ground Beef
2019,M08,August,NA,3.819,Ground Beef
2019,M07,July,NA,3.800,Ground Beef
2019,M06,June,NA,3.812,Ground Beef
2019,M05,May,NA,3.822,Ground Beef
2019,M04,April,NA,3.775,Ground Beef
2019,M03,March,NA,3.725,Ground Beef
2019,M02,February,NA,3.758,Ground Beef
2019,M01,January,NA,3.801,Ground Beef
2024,M05,May,true,1.971,Loaf of Bread
2024,M04,April,NA,1.998,Loaf of Bread
2024,M03,March,NA,1.997,Loaf of Bread
2024,M02,February,NA,2.006,Loaf of Bread
2024,M01,January,NA,2.033,Loaf of Bread
2023,M12,December,NA,2.024,Loaf of Bread
2023,M11,November,NA,1.976,Loaf of Bread
2023,M10,October,NA,2.002,Loaf of Bread
2023,M09,September,NA,1.972,Loaf of Bread
2023,M08,August,NA,1.970,Loaf of Bread
2023,M07,July,NA,1.980,Loaf of Bread
2023,M06,June,NA,1.937,Loaf of Bread
2023,M05,May,NA,1.951,Loaf of Bread
2023,M04,April,NA,1.989,Loaf of Bread
2023,M03,March,NA,1.936,Loaf of Bread
2023,M02,February,NA,1.896,Loaf of Bread
2023,M01,January,NA,1.888,Loaf of Bread
2022,M12,December,NA,1.873,Loaf of Bread
2022,M11,November,NA,1.847,Loaf of Bread
2022,M10,October,NA,1.814,Loaf of Bread
2022,M09,September,NA,1.749,Loaf of Bread
2022,M08,August,NA,1.756,Loaf of Bread
2022,M07,July,NA,1.715,Loaf of Bread
2022,M06,June,NA,1.691,Loaf of Bread
2022,M05,May,NA,1.606,Loaf of Bread
2022,M04,April,NA,1.612,Loaf of Bread
2022,M03,March,NA,1.607,Loaf of Bread
2022,M02,February,NA,1.578,Loaf of Bread
2022,M01,January,NA,1.555,Loaf of Bread
2021,M12,December,NA,1.532,Loaf of Bread
2021,M11,November,NA,1.547,Loaf of Bread
2021,M10,October,NA,1.526,Loaf of Bread
2021,M09,September,NA,1.580,Loaf of Bread
2021,M08,August,NA,1.467,Loaf of Bread
2021,M07,July,NA,1.491,Loaf of Bread
2021,M06,June,NA,1.510,Loaf of Bread
2021,M05,May,NA,1.511,Loaf of Bread
2021,M04,April,NA,1.510,Loaf of Bread
2021,M03,March,NA,1.526,Loaf of Bread
2021,M02,February,NA,1.537,Loaf of Bread
2021,M01,January,NA,1.546,Loaf of Bread
2020,M12,December,NA,1.538,Loaf of Bread
2020,M11,November,NA,1.515,Loaf of Bread
