SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025,change1yr,change5yr,swing
77,"Stockton, CA",CA,1817,2044,2263,2277,2381,2450,3,35,FALSE
78,"Cape Coral, FL",FL,1368,1511,1943,2166,2095,2063,-2,51,FALSE
79,"Boise City, ID",ID,1301,1535,1733,1763,1779,1821,2,40,FALSE
80,"Colorado Springs, CO",CO,1432,1562,1746,1814,1837,1858,1,30,FALSE
81,"Little Rock, AR",AR,930,1015,1108,1162,1223,1261,3,36,FALSE
82,"Lakeland, FL",FL,1361,1461,1758,1846,1884,1906,1,40,FALSE
83,"Akron, OH",OH,883,952,1070,1147,1212,1274,5,44,FALSE
84,"Des Moines, IA",IA,1055,1088,1162,1223,1268,1292,2,22,FALSE
85,"Springfield, MA",MA,1368,1491,1626,1762,1895,1995,5,46,FALSE
86,"Poughkeepsie, NY",NY,1514,1677,1929,2039,2117,2231,5,47,FALSE
87,"Ogden, UT",UT,1230,1362,1599,1682,1691,1750,3,42,FALSE
88,"Madison, WI",WI,1212,1248,1329,1479,1565,1633,4,35,TRUE
89,"Winston, NC",NC,1133,1240,1430,1518,1574,1670,6,47,TRUE
90,"Deltona, FL",FL,1331,1450,1740,1857,1869,1924,3,45,FALSE
91,"Syracuse, NY",NY,1153,1247,1390,1485,1584,1685,6,46,FALSE
92,"Provo, UT",UT,1363,1487,1730,1777,1816,1854,2,36,FALSE
93,"Toledo, OH",OH,903,976,1096,1158,1220,1266,4,40,FALSE
94,"Wichita, KS",KS,816,868,951,1016,1074,1100,2,35,FALSE
95,"Durham, NC",NC,1325,1372,1602,1699,1722,1742,1,31,TRUE
96,"Augusta, GA",GA,999,1100,1257,1329,1375,1474,7,48,TRUE
97,"Palm Bay, FL",FL,1389,1519,1842,1952,1971,2023,3,46,FALSE
98,"Jackson, MS",MS,1097,1147,1246,1324,1381,1457,6,33,FALSE
99,"Harrisburg, PA",PA,1048,1126,1280,1343,1387,1455,5,39,TRUE
100,"Spokane, WA",WA,1113,1274,1467,1495,1526,1583,4,42,FALSE
101,"Scranton, PA",PA,911,1029,1167,1207,1283,1332,4,46,TRUE
102,"Chattanooga, TN",TN,1072,1165,1372,1438,1486,1518,2,42,FALSE
103,"Modesto, CA",CA,1426,1583,1799,1845,1928,2009,4,41,FALSE
104,"Lancaster, PA",PA,956,1052,1167,1261,1316,1400,6,46,TRUE
105,"Portland, ME",ME,1562,1690,1914,2058,2146,2241,4,43,FALSE
106,"Youngstown, OH",OH,681,756,836,882,936,994,6,46,FALSE
107,"Lansing, MI",MI,853,917,1015,1074,1130,1202,6,41,TRUE
108,"Fayetteville, AR",AR,1131,1211,1361,1510,1559,1647,6,46,FALSE
109,"Fayetteville, NC",NC,960,1090,1287,1369,1408,1467,4,53,TRUE
110,"Lexington, KY",KY,998,1063,1200,1299,1370,1449,6,45,FALSE
111,"Pensacola, FL",FL,1246,NA,1678,1735,1777,1812,2,45,FALSE
112,"Santa Rosa, CA",CA,2205,2269,2533,2587,2661,2739,3,24,FALSE
113,"Reno, NV",NV,1510,1678,1841,1864,1894,1960,3,30,TRUE
114,"Huntsville, AL",AL,1035,1184,1332,1409,1413,1437,2,39,FALSE
115,"Port St. Lucie, FL",FL,1551,1756,2162,2295,2350,2422,3,56,FALSE
116,"Lafayette, LA",LA,1042,1096,1231,1252,1278,1340,5,29,FALSE
117,"Myrtle Beach, SC",SC,1304,1371,1686,1779,1829,1868,2,43,FALSE
118,"Springfield, MO",MO,945,1047,1196,1249,1305,1367,5,45,FALSE
119,"Visalia, CA",CA,1261,1422,1598,1700,1738,1847,6,46,FALSE
120,"Killeen, TX",TX,964,1093,1293,1328,1338,1356,1,41,FALSE
121,"Asheville, NC",NC,1292,1423,1668,1797,1865,1886,1,46,TRUE
122,"York, PA",PA,936,981,1097,1154,1231,1287,5,38,TRUE
