year,period,periodName,latest,United States,North Carolina,Wisconsin,Nevada,Michigan,Arizona,Pennsylvania,Georgia
2024,M08,August,true,3.521,3.536,3.524,3.688,3.540,3.455,3.370,3.238
2023,M08,August,NA,3.955,3.842,3.756,4.223,3.785,4.270,3.840,3.639
2022,M08,August,NA,4.101,4.265,3.926,4.579,3.998,4.128,4.209,3.575
2021,M08,August,NA,3.255,3.234,3.127,3.742,3.308,3.096,3.223,2.984
2020,M08,August,NA,2.177,2.290,2.121,2.338,2.139,2.296,2.312,1.884
2019,M08,August,NA,2.655,2.747,2.661,2.740,2.724,2.739,2.688,2.461
2018,M08,August,NA,2.862,2.961,2.823,2.906,2.904,2.823,2.916,2.726
