item,2018,2019,2020,2021,2022,2023,2024,percent_increase_6y,percent_increase_2y,percent_increase_1y,state
United States,2.862,2.655,2.177,3.255,4.101,3.955,3.521,23,-14,-11,United States
North Carolina (Middle Atlantic),2.961,2.747,2.29,3.234,4.265,3.842,3.536,19,-17,-8,North Carolina
East North Central (Wisconsin),2.823,2.661,2.121,3.127,3.926,3.756,3.524,25,-10,-6,Wisconsin
Mountain (Nevada),2.906,2.74,2.338,3.742,4.579,4.223,3.688,27,-19,-13,Nevada
Detroit (Michigan),2.904,2.724,2.139,3.308,3.998,3.785,3.54,22,-11,-6,Michigan
Phoenix (Arizona),2.823,2.739,2.296,3.096,4.128,4.27,3.455,22,-16,-19,Arizona
Philadelphia (Pennsylvania),2.916,2.688,2.312,3.223,4.209,3.84,3.37,16,-20,-12,Pennsylvania
Atlanta (Georgia),2.726,2.461,1.884,2.984,3.575,3.639,3.238,19,-9,-11,Georgia
