SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
130,27610,NC,1381,1492,1701,1834,1908,1960
131,60634,IL,1045,1106,1195,1294,1414,1471
132,30349,GA,1305,1494,1721,1876,1876,1965
133,94533,CA,1893,2022,2174,2247,2302,2448
134,28027,NC,1343,1431,1674,1786,1794,1849
135,34787,FL,1682,1784,2094,2280,2327,2409
136,87121,NM,NA,NA,1418,1510,1622,1704
137,76244,TX,1561,1694,1938,2038,2050,2079
138,77083,TX,1471,1553,1718,1833,1954,1989
139,10002,NY,3139,2525,3401,3546,3554,3693
140,23464,VA,1391,1460,1672,1841,1925,2032
141,76063,TX,1366,1440,1665,1761,1749,1749
142,10466,NY,NA,NA,NA,NA,2235,2997
143,11375,NY,2157,2060,2200,2412,2625,2826
145,98052,WA,2007,1925,2178,2220,2318,2388
146,34953,FL,NA,NA,NA,2292,2405,2517
147,33024,FL,1582,1690,2071,2328,2421,2500
148,33411,FL,1547,1612,2047,2227,2339,2341
149,75002,TX,1739,1826,2141,2291,2452,2412
150,79912,TX,NA,NA,1505,1593,1684,1728
151,93536,CA,NA,NA,2405,2689,2841,2933
152,91709,CA,2202,2381,2770,2863,2924,3033
153,91910,CA,1819,1892,2261,2473,2539,2609
154,98012,WA,1740,1799,2058,2124,2230,2259
155,94513,CA,2647,2891,3091,3143,3188,3224
156,78572,TX,NA,NA,NA,1600,1622,1657
157,11691,NY,NA,NA,NA,NA,2285,2447
158,75211,TX,1096,1189,1352,1452,1512,1567
159,85225,AZ,1338,1445,1774,1837,1843,1890
160,30040,GA,1597,1722,2034,2138,2243,2253
161,93727,CA,NA,NA,NA,2173,2261,2345
162,89108,NV,1011,1109,1409,1395,1396,1416
163,91706,CA,NA,NA,NA,NA,2484,2615
164,90003,CA,NA,NA,NA,2354,2574,2730
165,22191,VA,1648,1707,1884,1966,2099,2192
166,92126,CA,2104,2148,2557,2725,2825,2874
167,19120,PA,NA,NA,NA,1203,1360,1360
168,30041,GA,1414,1529,1809,1971,2031,2053
169,76028,TX,1440,1546,1722,1834,1904,1966
170,30052,GA,1561,1736,1980,2141,2188,2229
171,80013,CO,1524,1586,1819,1823,1932,1778
172,11215,NY,2806,2602,3027,3404,3475,3611
173,75228,TX,NA,NA,1365,1547,1603,1692
174,20002,DC,2134,1982,2202,2269,2340,2419
175,63376,MO,1177,1228,1393,1495,1555,1676
176,37211,TN,1181,1203,1453,1516,1502,1504
177,60085,IL,NA,NA,1280,1409,1508,1613
178,76179,TX,1511,1559,1809,1955,1982,2032
179,77407,TX,1346,1373,1584,1619,1668,1699
180,60657,IL,1652,1612,1732,1892,1982,2125
181,30047,GA,NA,NA,NA,1900,1974,1964
182,33025,FL,1698,1736,2239,2341,2410,2482
183,10463,NY,2104,2136,2252,2426,2517,2663
184,33311,FL,1476,1545,1841,2130,2272,2290
185,96797,HI,1797,1825,2009,2109,2309,2447
186,83646,ID,1567,1784,2051,2147,2104,2198
187,92553,CA,NA,1753,2100,2135,2128,2250
188,11209,NY,1766,1767,1846,1998,2035,2240
189,84043,UT,1737,1912,2139,2221,2278,2299
190,14850,NY,NA,NA,1923,2082,2101,2198
191,93306,CA,NA,NA,1521,1684,1801,1828
192,80015,CO,1922,2054,2326,2360,2465,2608
193,77095,TX,1180,1260,1401,1456,1499,1487
194,93230,CA,NA,NA,NA,1706,1728,1831
195,30127,GA,1428,1587,1818,1944,1992,2139
196,28277,NC,1516,1514,1783,1935,1966,1970
197,77845,TX,1485,1533,1639,1791,1872,1980
198,89031,NV,1455,1613,1906,1941,1977,2067
199,20906,MD,1596,1595,1788,1904,2057,1997
200,46307,IN,NA,NA,NA,NA,1967,2024
201,95747,CA,2142,2297,2603,2592,2682,2750
202,94536,CA,2754,2678,2850,2984,2994,3067
203,92563,CA,1896,2108,2510,2614,2707,2766
204,45011,OH,NA,NA,NA,1375,1582,1660
205,97229,OR,1777,1836,2084,2238,2178,2302
206,90255,CA,NA,NA,NA,NA,NA,1968
207,92105,CA,1593,1624,1858,2078,2176,2234
208,60614,IL,2057,1895,2166,2382,2538,2685
209,92021,CA,NA,NA,1941,2171,2296,2406
