SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
482,Grayson County,TX,1090,1191,1304,1396,1460,1457
483,Cambria County,PA,589,618,660,717,760,815
484,Blount County,TN,1103,1226,1530,1650,1802,1858
485,Brunswick County,NC,1281,1362,1571,1766,1806,1887
486,Harnett County,NC,NA,NA,1537,1632,1747,1786
487,Warren County,KY,934,952,1091,1151,1184,1255
488,Tazewell County,IL,NA,NA,NA,NA,985,1052
489,Washington County,TN,951,996,1184,1329,1393,1491
490,Wood County,OH,1113,1208,1353,1411,1489,1486
491,Tangipahoa Parish,LA,NA,NA,1138,1164,1207,1276
492,Cache County,UT,NA,NA,NA,1491,1464,1471
493,Black Hawk County,IA,918,937,1012,1031,1094,1151
494,Kendall County,IL,1582,1705,1856,2004,2182,2310
495,Strafford County,NH,1258,1346,1514,1734,1861,1968
496,Rapides Parish,LA,NA,NA,NA,NA,1233,1263
497,Madison County,IN,649,729,823,893,976,1026
498,Washington County,RI,1544,1676,1875,2035,2230,2424
499,Pickens County,SC,892,955,1102,1168,1285,1407
500,Wichita County,TX,799,891,986,1059,1126,1173
501,Fayette County,PA,NA,NA,NA,NA,NA,860
502,Berkshire County,MA,NA,NA,NA,1469,1580,1625
503,Hunterdon County,NJ,1733,1850,2101,2318,2479,2636
504,Skagit County,WA,1463,1599,1886,1966,2063,2130
505,Clarke County,GA,1239,1326,1494,1647,1781,1864
507,Chautauqua County,NY,NA,NA,NA,NA,NA,930
508,Bossier Parish,LA,1076,1119,1238,1290,1340,1398
509,Sebastian County,AR,695,748,846,933,939,988
510,Sumter County,FL,NA,NA,1435,1737,1789,1867
511,Linn County,OR,NA,NA,1402,1552,1615,1660
512,Ascension Parish,LA,1391,1463,1533,1637,1678,1736
513,Cochise County,AZ,NA,NA,NA,1356,1384,1401
514,Richland County,OH,NA,NA,NA,NA,885,954
515,Gregg County,TX,833,885,979,1051,1097,1151
516,Kennebec County,ME,885,985,1144,1208,1336,1384
517,Faulkner County,AR,1015,1090,1215,1272,1358,1388
518,Blair County,PA,NA,NA,NA,NA,918,953
519,San Juan County,NM,NA,NA,NA,NA,1070,1134
520,Morgan County,AL,NA,NA,NA,1199,1257,1321
521,Saline County,AR,1102,1163,1294,1369,1448,1527
522,Jasper County,MO,NA,NA,NA,1006,1072,1125
523,Bonneville County,ID,854,945,1155,1186,1216,1242
524,Comanche County,OK,738,793,853,979,1007,1066
525,Berkeley County,WV,1133,1239,1390,1503,1571,1660
526,La Crosse County,WI,NA,NA,914,1052,1094,1164
527,Clark County,IN,NA,NA,1160,1242,1314,1395
528,Allegan County,MI,NA,NA,NA,NA,NA,1308
529,Tom Green County,TX,1088,1123,1191,1241,1261,1327
530,Potter County,TX,810,862,935,1022,1046,1082
531,Robeson County,NC,NA,NA,NA,NA,NA,1147
532,Douglas County,KS,1113,1143,1240,1329,1439,1572
533,Carroll County,GA,1086,1234,1438,1557,1636,1723
534,Oswego County,NY,NA,NA,NA,1039,1201,1377
535,Wayne County,NC,NA,NA,NA,1291,1363,1399
536,Fayette County,GA,1559,1732,2014,2129,2132,2250
537,Jefferson County,NY,NA,NA,NA,1171,1208,1265
538,Sheboygan County,WI,NA,NA,NA,906,976,1042
539,Lowndes County,GA,NA,980,1163,1217,1294,1378
540,Missoula County,MT,861,1016,1217,1283,1315,1360
541,Wayne County,OH,NA,NA,NA,921,998,1097
542,Windham County,CT,NA,NA,1392,1550,1549,1876
543,Calhoun County,AL,NA,NA,NA,NA,942,990
544,Gallatin County,MT,NA,1785,2027,2133,2190,2244
545,Henderson County,NC,NA,NA,1558,1675,1832,1872
546,Lycoming County,PA,NA,NA,NA,NA,973,1030
547,Flagler County,FL,1352,1453,1791,1920,1946,1970
548,Saint Marys County,MD,1306,1373,1517,1535,1654,1774
549,Delaware County,IN,657,718,778,849,892,957
550,La Porte County,IN,NA,NA,929,1008,1058,1136
551,Ontario County,NY,NA,1330,1421,1586,1763,1777
552,Albemarle County,VA,1402,1463,1654,1745,1771,1879
553,Newton County,GA,1248,1399,1666,1746,1833,1857
554,Mercer County,PA,NA,NA,NA,925,1029,1049
555,Douglas County,OR,NA,NA,NA,1289,1346,1379
556,Androscoggin County,ME,NA,NA,NA,1230,1333,1458
557,Hardin County,KY,NA,NA,1082,1220,1422,1429
558,Terrebonne Parish,LA,NA,NA,NA,1353,1351,1410
559,La Salle County,IL,NA,NA,NA,NA,NA,1195
560,Craighead County,AR,980,991,1088,1142,1184,1263
561,Cowlitz County,WA,NA,NA,NA,1303,1341,1399
562,Warren County,NJ,1391,1460,1622,1813,1855,2057
563,Hanover County,VA,NA,NA,1701,1774,1905,1970
564,Eaton County,MI,NA,NA,1096,1161,1237,1312
566,Pennington County,SD,943,1006,1170,1263,1295,1354
567,Madison County,MS,1284,1288,1433,1528,1533,1597
568,Kankakee County,IL,NA,NA,1048,1170,1237,1375
569,Bartow County,GA,1237,1303,1580,1719,1773,1824
570,Miami County,OH,1025,1096,1213,1319,1382,1447
571,Bradley County,TN,NA,1045,1217,1353,1401,1451
572,Yamhill County,OR,1465,1552,1713,1897,1961,2133
573,Cass County,MO,1264,1345,1456,1563,1655,1743
574,Matanuska Susitna Borough,AK,NA,NA,NA,1590,1759,1796
575,Navajo County,AZ,NA,NA,NA,NA,NA,2065
576,Vigo County,IN,NA,668,742,812,850,903
577,Houston County,AL,NA,NA,NA,1149,1209,1290
578,Walworth County,WI,NA,NA,1162,1326,1412,1525
579,Carver County,MN,1458,1543,1632,1714,1796,1849
580,Monongalia County,WV,1109,1129,1197,1268,1329,1400
581,Tompkins County,NY,1576,1643,1870,2027,2048,2159
582,Sumter County,SC,959,1039,1154,1267,1352,1433
583,Rockwall County,TX,1571,1662,1827,1963,1972,2024
584,Eau Claire County,WI,NA,NA,973,1101,1116,1162
585,Platte County,MO,1160,1219,1325,1427,1495,1578
586,Woodbury County,IA,NA,NA,NA,NA,1122,1181
587,Macon County,IL,NA,NA,NA,1001,1041,1139
587,Franklin County,MO,NA,NA,NA,NA,NA,1163
589,Bay County,MI,NA,NA,NA,1121,1157,1222
590,Fond du Lac County,WI,NA,NA,NA,844,918,1038
591,Adams County,PA,NA,NA,971,NA,1069,1146
593,Flathead County,MT,NA,NA,2011,2047,2071,2083
594,Cecil County,MD,NA,1377,1549,1684,1767,1833
595,Wicomico County,MD,1146,1178,1322,1457,1492,1653
596,Whitfield County,GA,NA,NA,NA,NA,1431,1560
597,Daviess County,KY,NA,NA,NA,NA,NA,1152
598,Allen County,OH,NA,NA,NA,NA,NA,1158
600,Nevada County,CA,NA,NA,2182,2284,2353,2529
601,Limestone County,AL,NA,1321,1440,1507,1601,1663
602,Craven County,NC,NA,NA,1202,1366,1390,1505
603,Highlands County,FL,958,1051,1236,1394,1452,1495
604,DeKalb County,IL,1019,1047,1141,1210,1255,1364
605,Laramie County,WY,1088,1149,1236,1296,1355,1400
606,Garland County,AR,NA,NA,1149,1249,1297,1398
607,Roanoke City,VA,897,934,1096,1181,1246,1315
609,Montgomery County,VA,1196,1239,1372,1489,1596,1679
610,Sutter County,CA,NA,NA,NA,1911,1965,2081
611,Maury County,TN,1277,1343,1540,1625,1675,1640
612,Cleveland County,NC,NA,NA,NA,NA,1179,1187
613,Hunt County,TX,NA,NA,NA,1325,1392,1448
614,Dubuque County,IA,NA,NA,874,943,1031,1046
615,Moore County,NC,1373,1470,1644,1816,1918,1959
616,Madison County,TN,NA,NA,1049,1162,1236,1368
617,Floyd County,GA,NA,NA,NA,1132,1225,1251
618,Story County,IA,899,946,958,1009,1064,1094
619,Sevier County,TN,NA,NA,NA,NA,1629,1667
620,Putnam County,NY,NA,NA,NA,2329,2428,2673
621,Burleigh County,ND,NA,NA,NA,1219,1277,1360
622,Grant County,WA,1097,1115,1277,1410,1497,1528
624,Lafourche Parish,LA,NA,NA,NA,NA,1352,1427
625,Portsmouth City,VA,1065,1135,1247,1387,1435,1536
626,Marshall County,AL,NA,NA,NA,NA,NA,1800
627,Fairbanks North Star Borough,AK,NA,NA,1586,1679,1752,1834
628,Dallas County,IA,1313,1322,1382,1487,1547,1571
629,Roanoke County,VA,NA,NA,1289,1423,1510,1625
630,Sherburne County,MN,NA,NA,NA,1431,1531,1599
631,Cape May County,NJ,NA,NA,NA,NA,NA,2342
632,Walton County,GA,NA,NA,1594,1783,1856,1982
634,Franklin County,WA,1368,1483,1665,1783,1918,1960
635,Bastrop County,TX,NA,NA,1675,1807,1922,1945
636,Benton County,OR,1411,1432,1611,1822,1933,2003
637,Lancaster County,SC,NA,1291,1437,1612,1622,1739
638,Rogers County,OK,1108,1167,1320,1396,1465,1529
639,Nash County,NC,NA,NA,NA,1207,1229,1343
640,Cabell County,WV,757,798,846,878,914,984
641,Grand Traverse County,MI,NA,NA,NA,1659,1802,1854
642,Steuben County,NY,NA,NA,NA,NA,1339,1345
643,Lauderdale County,AL,NA,NA,NA,NA,1094,1205
644,Pottawattamie County,IA,NA,NA,967,1061,1145,1230
645,Suffolk City,VA,1312,1354,1600,1653,1696,1933
647,Rockdale County,GA,1138,1287,1515,1639,1671,1707
648,Bowie County,TX,NA,NA,NA,NA,1325,1371
649,Campbell County,KY,1078,1127,1226,1326,1413,1481
650,Saint Croix County,WI,NA,NA,1426,1522,1652,1667
651,Calvert County,MD,NA,NA,NA,NA,2206,2337
652,Madison County,KY,745,771,850,951,991,1057
653,Northumberland County,PA,NA,NA,NA,NA,NA,958
654,Mendocino County,CA,NA,NA,NA,NA,NA,1994
655,Wayne County,NY,NA,NA,NA,NA,NA,1088
656,Victoria County,TX,NA,NA,NA,1131,1149,1193
657,Grafton County,NH,NA,NA,NA,1861,1941,2103
658,Ozaukee County,WI,NA,NA,NA,NA,NA,1776
660,Saint Clair County,AL,1250,1332,1423,1485,1592,1641
661,Frederick County,VA,NA,NA,NA,1822,1938,2065
662,Liberty County,TX,NA,NA,NA,NA,1444,1492
664,Dodge County,WI,NA,NA,NA,NA,NA,1036
665,Twin Falls County,ID,NA,NA,NA,1449,1541,1561
667,Nassau County,FL,1464,1556,1871,1972,2011,2153
670,Christian County,MO,NA,NA,1125,1229,1293,1374
671,Josephine County,OR,NA,NA,NA,NA,1640,1630
672,Elmore County,AL,NA,NA,NA,1039,1157,1189
674,Dougherty County,GA,603,640,745,792,857,867
676,Bannock County,ID,NA,NA,925,961,962,1013
677,Polk County,OR,NA,NA,1539,1598,1710,1778
678,Muskingum County,OH,NA,NA,NA,NA,951,1036
679,Lawrence County,PA,NA,NA,NA,NA,798,888
680,Island County,WA,1342,1432,1570,1671,1799,1896
681,Lincoln County,NC,NA,NA,NA,1625,1682,1797
682,Buchanan County,MO,NA,NA,NA,786,884,907
683,Newport County,RI,1809,2047,2332,2612,2852,3044
684,Orange County,TX,NA,NA,NA,1077,1138,1198
685,Orangeburg County,SC,NA,NA,NA,NA,998,1159
686,Jefferson County,WI,NA,NA,NA,951,1017,1040
687,Wood County,WV,NA,NA,NA,NA,NA,845
688,Crawford County,PA,NA,NA,NA,NA,NA,821
689,Chemung County,NY,NA,NA,NA,NA,NA,992
690,Glynn County,GA,NA,NA,1535,1694,1758,1777
691,Cascade County,MT,794,874,983,1170,1152,1245
692,Indiana County,PA,NA,NA,NA,NA,NA,961
693,Midland County,MI,NA,NA,NA,NA,1428,1491
694,Lee County,MS,NA,NA,NA,NA,1334,1403
695,Howard County,IN,617,636,716,770,857,986
696,Rockingham County,VA,NA,NA,NA,1604,1718,1799
697,Saint Landry Parish,LA,NA,NA,NA,NA,NA,849
698,Monroe County,FL,2448,2553,3069,3629,3571,3661
699,Barrow County,GA,1351,1463,1731,1937,1993,2021
700,Talladega County,AL,NA,NA,NA,1052,1119,1172
701,Payne County,OK,NA,1016,1106,1178,1246,1335
702,Henderson County,TX,NA,NA,NA,1305,1373,1393
703,Bartholomew County,IN,994,1048,1170,1211,1286,1360
704,Bullitt County,KY,NA,NA,NA,1514,1598,1690
705,Coryell County,TX,843,926,1090,1157,1194,1204
706,Leavenworth County,KS,818,842,918,997,1061,1144
707,Lewis County,WA,NA,NA,NA,NA,1399,1490
708,Manitowoc County,WI,NA,NA,NA,NA,NA,933
709,Cape Girardeau County,MO,NA,NA,NA,869,929,977
710,Caldwell County,NC,NA,NA,NA,NA,NA,1136
711,Clearfield County,PA,NA,NA,NA,NA,NA,1143
712,Wagoner County,OK,NA,NA,1420,1479,1569,1630
713,Yuba County,CA,NA,NA,NA,1788,1857,1912
714,Kosciusko County,IN,NA,NA,NA,1142,1192,1290
716,Bulloch County,GA,NA,NA,1189,1417,1542,1651
717,Umatilla County,OR,NA,NA,NA,NA,1216,1321
718,Natrona County,WY,1001,974,1062,1110,1165,1227
719,Floyd County,IN,NA,NA,NA,1027,1155,1197
720,Bedford County,VA,NA,NA,NA,NA,NA,1610
721,Putnam County,TN,NA,NA,1202,1310,1427,1425
723,Lynchburg City,VA,822,882,1031,1157,1181,1234
724,Wilson County,NC,NA,NA,NA,NA,1067,1109
725,Hancock County,IN,1223,1323,1440,1539,1628,1657
726,Chelan County,WA,NA,NA,1609,1729,1720,1810
727,Sullivan County,NY,NA,NA,NA,NA,1395,1614
728,Oconee County,SC,NA,NA,NA,1500,1632,1711
729,James City County,VA,1470,1535,1703,1865,1985,2133
730,Forrest County,MS,NA,NA,875,985,1019,1056
731,Cole County,MO,NA,NA,NA,NA,888,970
732,Cattaraugus County,NY,NA,NA,NA,NA,NA,1050
734,Augusta County,VA,NA,NA,NA,NA,NA,1664
735,White County,AR,NA,NA,NA,NA,NA,1005
736,Clallam County,WA,NA,NA,NA,NA,1861,2001
737,Anderson County,TN,NA,NA,NA,NA,1470,1600
738,Cayuga County,NY,NA,NA,NA,NA,NA,1325
739,Walker County,TX,NA,NA,NA,1270,1344,1463
740,Cheshire County,NH,NA,NA,1455,1564,1641,1748
742,Valencia County,NM,NA,NA,NA,1695,1817,NA
743,Erie County,OH,NA,NA,NA,NA,NA,1289
744,Van Buren County,MI,NA,NA,NA,NA,NA,1550
745,Hancock County,OH,NA,NA,NA,1231,1326,1443
746,Chatham County,NC,NA,NA,NA,1672,1802,1924
747,Vermilion County,IL,NA,NA,NA,634,689,766
748,Raleigh County,WV,NA,NA,NA,NA,NA,1116
749,Grays Harbor County,WA,NA,NA,NA,1245,1269,1324
754,Jackson County,GA,NA,NA,NA,1785,1794,1810
755,Lonoke County,AR,951,997,1142,1203,1249,1292
756,Lauderdale County,MS,NA,NA,NA,NA,NA,1139
757,Walton County,FL,1388,1490,2005,1937,1987,2008
759,Putnam County,FL,NA,NA,NA,NA,1387,1499
760,Grand Forks County,ND,876,878,910,957,995,1072
762,Lea County,NM,NA,NA,NA,NA,NA,1179
763,Riley County,KS,995,998,1037,1072,1127,1183
764,Fauquier County,VA,NA,NA,NA,NA,NA,2388
765,Christian County,KY,790,869,982,1060,1129,1180
766,Broomfield County,CO,1682,1705,1961,2020,2061,2095
767,Pottawatomie County,OK,NA,NA,NA,NA,968,1014
768,Robertson County,TN,NA,NA,1546,1673,1750,1786
769,Creek County,OK,NA,NA,NA,NA,1075,1143
770,York County,VA,1441,1514,1715,1821,1944,2017
774,Tooele County,UT,NA,NA,NA,1709,1815,1927
775,Franklin County,MA,NA,NA,NA,NA,NA,2407
777,Portage County,WI,NA,NA,NA,1186,1255,1307
778,Lewis and Clark County,MT,NA,NA,NA,NA,1442,1612
779,Greene County,TN,NA,NA,NA,NA,NA,1265
780,Boone County,IN,1358,1406,1606,1692,1786,1865
781,Ward County,ND,NA,NA,810,867,898,940
782,Troup County,GA,NA,NA,1030,1135,1264,1309
783,Greenwood County,SC,NA,NA,NA,NA,NA,975
784,Columbia County,FL,NA,NA,NA,NA,1485,1554
785,Klamath County,OR,NA,NA,NA,NA,1153,1210
786,Allegany County,MD,NA,NA,NA,797,897,965
787,Harrison County,TX,NA,NA,NA,NA,1244,1300
788,Blue Earth County,MN,NA,NA,NA,1424,1459,1593
789,San Patricio County,TX,NA,NA,NA,NA,NA,1572
791,Shiawassee County,MI,NA,NA,NA,NA,NA,977
794,Wise County,TX,NA,NA,NA,NA,1848,1911
795,Carteret County,NC,NA,NA,1433,1616,1805,1911
796,Walker County,GA,NA,NA,NA,NA,1408,1434
797,Lake County,CA,NA,NA,NA,1594,1599,1756
799,Franklin County,NC,NA,NA,NA,1678,1741,1779
800,Oldham County,KY,NA,NA,NA,NA,NA,1754
801,Catoosa County,GA,NA,NA,NA,NA,1520,1633
802,Butler County,KS,NA,NA,NA,1128,1168,1170
803,McCracken County,KY,NA,NA,NA,NA,NA,1525
804,Jones County,MS,NA,NA,NA,NA,NA,1209
805,Otero County,NM,NA,NA,NA,1335,1371,1462
806,Aroostook County,ME,NA,NA,NA,NA,NA,800
807,Williamson County,IL,NA,NA,NA,920,985,1060
808,Laurens County,SC,NA,NA,NA,NA,1034,1009
811,Muskogee County,OK,NA,NA,NA,816,855,925
813,Rice County,MN,NA,NA,NA,NA,NA,1482
814,Spalding County,GA,NA,NA,1188,1264,1312,1391
815,Wayne County,IN,NA,NA,NA,708,742,802
816,Ionia County,MI,NA,NA,NA,NA,NA,1237
819,Marquette County,MI,NA,NA,NA,NA,1096,1269
821,Harrison County,WV,NA,NA,954,999,1064,1085
824,Adams County,IL,NA,NA,NA,NA,NA,1033
825,Chippewa County,WI,NA,NA,NA,NA,NA,1049
826,Isabella County,MI,NA,NA,NA,NA,875,975
827,Warren County,NY,NA,NA,NA,NA,NA,1431
829,Marion County,OH,NA,NA,NA,NA,NA,1249
830,Jefferson County,OH,NA,NA,NA,672,718,794
831,Tehama County,CA,NA,NA,NA,NA,NA,1422
832,Sauk County,WI,NA,NA,NA,NA,1091,1252
833,Walker County,AL,NA,NA,NA,NA,1087,1132
834,Clay County,MN,NA,NA,NA,1238,1319,1400
835,Chaves County,NM,NA,NA,NA,1099,1126,1377
836,Columbia County,PA,NA,NA,NA,NA,923,1058
837,Kershaw County,SC,NA,NA,NA,NA,NA,1645
838,Mason County,WA,NA,NA,NA,NA,NA,1813
839,Nacogdoches County,TX,NA,NA,NA,NA,NA,1132
840,Carbon County,PA,NA,NA,NA,NA,1180,1257
844,Rutherford County,NC,NA,NA,NA,NA,NA,1175
845,Liberty County,GA,1012,1111,1394,1509,1557,1662
846,Hamblen County,TN,NA,NA,NA,NA,NA,1511
847,Lamar County,MS,NA,NA,NA,1219,1225,1337
848,Warrick County,IN,NA,NA,NA,NA,NA,1355
849,Belknap County,NH,NA,NA,NA,NA,NA,1991
850,Effingham County,GA,NA,NA,NA,1806,1992,2034
852,San Benito County,CA,NA,NA,NA,2544,2735,2868
853,Lincoln County,SD,965,976,1106,1195,1220,1252
855,Georgetown County,SC,NA,NA,NA,NA,NA,2107
856,Athens County,OH,NA,NA,NA,NA,850,935
857,Lee County,NC,NA,NA,NA,NA,1446,1486
858,Garfield County,OK,NA,NA,NA,904,943,1034
859,Hall County,NE,NA,NA,NA,NA,NA,1225
862,Walla Walla County,WA,NA,NA,NA,1454,1526,1579
863,Stanly County,NC,NA,NA,NA,NA,NA,1756
865,Reno County,KS,612,624,670,730,774,798
867,Union County,OH,NA,NA,1426,1623,1733,1789
868,Haywood County,NC,NA,NA,NA,NA,1557,1676
869,Columbia County,NY,NA,NA,NA,1737,1866,2049
871,Garfield County,CO,NA,NA,NA,NA,2292,2376
872,Eddy County,NM,NA,NA,NA,NA,NA,1806
873,Tipton County,TN,NA,NA,NA,NA,NA,1636
874,Crawford County,AR,NA,NA,NA,862,890,933
875,Granville County,NC,NA,NA,NA,NA,NA,1515
879,Rutland County,VT,NA,NA,NA,NA,NA,1500
880,Cumberland County,TN,NA,NA,NA,NA,NA,1675
881,Hood County,TX,1232,1309,1506,1582,1604,1709
883,Pender County,NC,NA,NA,1643,1854,1958,1977
884,Washington County,OH,NA,NA,NA,NA,NA,1118
885,Mercer County,WV,NA,NA,NA,NA,704,784
887,Washington County,VT,NA,NA,NA,NA,NA,1349
890,Otsego County,NY,NA,NA,NA,NA,NA,1428
893,Lowndes County,MS,NA,NA,NA,NA,1258,1338
895,Van Zandt County,TX,NA,NA,NA,NA,NA,1362
896,Kenai Peninsula Borough,AK,NA,NA,NA,NA,NA,1502
897,Russell County,AL,NA,NA,NA,1219,1258,1313
900,Huron County,OH,NA,NA,NA,NA,NA,1524
901,Pickaway County,OH,NA,NA,NA,NA,1148,1242
903,Pike County,PA,NA,NA,NA,NA,NA,2158
904,Autauga County,AL,NA,NA,1513,1604,1704,1802
907,Anderson County,TX,NA,NA,NA,NA,NA,1125
908,Lyon County,NV,NA,NA,1552,1608,1701,1765
909,Carson City,NV,NA,NA,NA,1682,1731,1825
912,Maverick County,TX,NA,NA,NA,NA,NA,1576
913,Jefferson County,WV,NA,NA,NA,NA,1794,1868
914,Windsor County,VT,NA,NA,NA,NA,NA,1562
915,Putnam County,WV,NA,NA,NA,NA,NA,1412
916,Coffee County,TN,NA,NA,NA,1152,1225,1314
918,Box Elder County,UT,NA,NA,NA,NA,NA,1216
921,Carter County,TN,NA,NA,NA,NA,NA,1108
922,Scott County,KY,NA,NA,NA,NA,1511,1612
923,Marion County,WV,NA,NA,NA,NA,954,1068
924,Cherokee County,SC,NA,NA,NA,NA,1120,1171
925,Hardin County,TX,NA,NA,NA,NA,NA,1317
926,Colbert County,AL,NA,NA,NA,NA,829,888
929,Taney County,MO,NA,NA,NA,NA,1275,1275
930,Iron County,UT,NA,NA,NA,1380,1456,1427
931,Lafayette County,MS,NA,NA,1456,1592,1792,2192
932,Eagle County,CO,NA,NA,NA,2902,3365,3676
933,La Plata County,CO,NA,1487,1679,1829,1863,1939
934,Campbell County,VA,NA,NA,NA,NA,1255,1334
935,Waller County,TX,NA,NA,NA,1885,2081,2225
938,Tuolumne County,CA,NA,NA,NA,NA,NA,1471
941,Franklin County,VA,NA,NA,NA,NA,NA,1425
942,Grady County,OK,NA,NA,NA,NA,NA,1106
944,Saline County,KS,NA,NA,NA,NA,936,957
945,Jefferson County,TN,NA,NA,NA,NA,NA,1723
946,Loudon County,TN,NA,NA,NA,NA,1750,1869
947,Camden County,GA,NA,NA,NA,1404,1444,1537
948,Watauga County,NC,NA,NA,NA,NA,1912,2055
951,Johnson County,MO,736,776,839,915,952,1013
952,Jackson County,IL,NA,NA,NA,612,621,670
955,Pulaski County,MO,NA,NA,NA,NA,934,1013
956,Elko County,NV,NA,NA,NA,NA,NA,1366
957,Roane County,TN,NA,NA,NA,NA,NA,1508
960,McMinn County,TN,NA,NA,NA,NA,1172,1236
961,Coffee County,AL,911,1030,1128,1233,1305,1375
962,Jessamine County,KY,NA,NA,934,1021,1156,1253
963,Ashland County,OH,NA,NA,NA,NA,NA,962
966,Kerr County,TX,NA,NA,NA,NA,1700,1792
967,Washington County,OK,NA,NA,NA,NA,1177,1274
968,Columbia County,OR,NA,NA,NA,NA,1578,1740
969,Grundy County,IL,NA,NA,NA,NA,1119,1248
971,Worcester County,MD,NA,NA,NA,NA,NA,2072
974,Hoke County,NC,NA,NA,1437,1522,1564,1682
975,Calumet County,WI,NA,NA,NA,NA,NA,849
976,Harrisonburg City,VA,NA,NA,NA,1331,1418,1604
978,Navarro County,TX,NA,NA,NA,1253,1211,1309
979,Warren County,IA,NA,NA,969,1019,1070,1088
980,Darke County,OH,NA,NA,NA,NA,NA,700
985,Oktibbeha County,MS,NA,NA,NA,NA,1229,1306
986,Franklin County,KY,697,725,800,909,923,998
987,Wayne County,PA,NA,NA,NA,NA,NA,1250
990,Madison County,ID,NA,NA,973,1079,1080,1095
991,Venango County,PA,NA,NA,NA,NA,NA,789
992,Bristol County,RI,1402,1548,1755,1942,2053,2264
995,Medina County,TX,NA,NA,NA,NA,NA,2099
996,Somerset County,ME,NA,NA,NA,NA,NA,1399
999,Nye County,NV,NA,NA,NA,1208,1235,1349
1001,Lamar County,TX,NA,NA,NA,NA,NA,1233
1002,Winona County,MN,NA,NA,NA,1055,1095,1200
1003,Lincoln County,OR,NA,NA,NA,NA,NA,2049
1004,Buffalo County,NE,NA,NA,NA,NA,NA,1552
1009,Queen Annes County,MD,NA,NA,NA,NA,NA,2500
1011,Edgecombe County,NC,NA,NA,NA,NA,1065,1134
1012,Montgomery County,NY,NA,NA,NA,NA,NA,1167
1013,Dale County,AL,NA,NA,NA,NA,1006,1192
1016,Polk County,TX,NA,NA,NA,NA,NA,1512
1019,Douglas County,NV,NA,NA,NA,2076,2246,2283
1020,Vernon Parish,LA,NA,NA,NA,NA,973,1018
1021,Fremont County,CO,NA,NA,NA,NA,NA,1338
1022,Logan County,OK,NA,NA,NA,1205,1244,1318
1023,Henry County,IN,NA,NA,NA,NA,NA,881
1024,Curry County,NM,NA,NA,979,1025,1079,1096
1029,Lincoln Parish,LA,NA,NA,862,903,944,952
1031,Crittenden County,AR,NA,NA,NA,NA,NA,1100
1032,Whitman County,WA,NA,NA,NA,1502,1544,1639
1033,Carter County,OK,NA,NA,NA,NA,NA,997
1036,Greene County,NY,NA,NA,NA,NA,1466,1599
1038,Val Verde County,TX,NA,NA,NA,NA,NA,1800
1044,Goodhue County,MN,NA,NA,NA,NA,NA,1275
1045,Santa Cruz County,AZ,NA,NA,NA,NA,NA,1600
1048,Cherokee County,OK,NA,NA,NA,NA,NA,1042
1050,Cortland County,NY,NA,NA,NA,NA,1577,1640
1051,Campbell County,WY,NA,NA,NA,NA,1104,1227
1054,Charlottesville City,VA,1404,1478,1605,1756,1846,1911
1055,Clinton County,IA,NA,NA,NA,NA,NA,775
1057,Bonner County,ID,NA,NA,NA,NA,2031,2198
1062,Osage County,OK,NA,NA,NA,NA,NA,1322
1063,Monroe County,WI,NA,NA,NA,NA,952,1038
1066,Beltrami County,MN,NA,NA,NA,NA,NA,1250
1067,Logan County,OH,NA,NA,NA,NA,NA,1260
1069,Hancock County,MS,NA,NA,NA,NA,1535,1603
1070,Perry County,PA,NA,NA,NA,NA,NA,1045
1071,Windham County,VT,NA,NA,NA,NA,NA,2050
1073,Colquitt County,GA,NA,NA,NA,NA,NA,1200
1076,Hillsdale County,MI,NA,NA,NA,NA,NA,1100
1077,Thomas County,GA,NA,NA,NA,NA,NA,1624
1078,Greene County,AR,NA,NA,NA,NA,NA,903
1082,Calaveras County,CA,NA,NA,NA,NA,1727,2015
1083,Caldwell County,TX,NA,NA,NA,NA,1644,1751
1084,Chambers County,TX,NA,NA,NA,1924,1972,1989
1085,Dunn County,WI,NA,NA,NA,1018,1076,1138
1090,Chilton County,AL,NA,NA,NA,NA,NA,1510
1091,Shelby County,IN,NA,NA,NA,NA,NA,987
1092,Stephenson County,IL,NA,NA,NA,NA,NA,828
1093,Polk County,WI,NA,NA,NA,NA,NA,1350
1094,Beaufort County,NC,NA,NA,NA,NA,NA,1300
1095,Phelps County,MO,NA,NA,NA,NA,668,690
1097,Delaware County,NY,NA,NA,NA,NA,NA,1088
1106,Shenandoah County,VA,NA,NA,NA,NA,NA,1438
1108,Siskiyou County,CA,NA,NA,NA,NA,NA,1417
1109,Kittitas County,WA,NA,NA,NA,1548,1623,1710
1110,Douglas County,WI,NA,NA,NA,NA,1310,1469
1111,Kay County,OK,NA,NA,NA,NA,NA,750
1114,Baldwin County,GA,NA,NA,NA,NA,NA,1142
1115,Kendall County,TX,NA,NA,NA,1491,1502,1459
1117,Saint Bernard Parish,LA,NA,NA,NA,NA,NA,1327
1118,Ravalli County,MT,NA,NA,NA,NA,1450,1606
1122,Kandiyohi County,MN,NA,NA,NA,NA,NA,1140
1125,Bryan County,GA,1483,1544,1760,2000,2191,2229
1129,Sullivan County,NH,NA,NA,NA,NA,1710,1796
1131,De Kalb County,IN,NA,NA,NA,NA,NA,1011
1132,Camden County,MO,NA,NA,NA,NA,NA,1490
1135,Jackson County,NC,NA,NA,NA,NA,NA,1500
