SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
108,Ocean County,NJ,1862,2016,2380,2549,2748,2909
109,Montgomery County,TX,1371,1400,1568,1639,1667,1687
110,Johnson County,KS,1226,1247,1389,1514,1590,1686
111,Brevard County,FL,1344,1432,1740,1883,1904,1952
112,Washington County,OR,1485,1531,1760,1880,1852,1906
113,Baltimore City,MD,1290,1316,1477,1546,1590,1670
114,Williamson County,TX,1384,1419,1700,1766,1706,1637
115,Anne Arundel County,MD,1711,1790,1986,2054,2148,2229
116,Jefferson County,CO,1540,1572,1774,1864,1941,1941
117,Douglas County,NE,979,1014,1110,1207,1266,1329
118,Bristol County,MA,1259,1352,1510,1658,1803,1943
119,Delaware County,PA,1221,1298,1430,1524,1594,1689
120,Union County,NJ,1846,1943,2099,2294,2439,2529
121,New Castle County,DE,1286,1361,1573,1684,1777,1853
122,Dane County,WI,1240,1257,1341,1466,1580,1652
123,Pasco County,FL,1331,1460,1829,1957,2013,2070
124,Stanislaus County,CA,1468,1631,1838,1927,1996,2072
125,Lancaster County,PA,970,1042,1162,1255,1331,1409
126,Ramsey County,MN,1283,1271,1360,1401,1431,1483
127,Volusia County,FL,1277,1351,1607,1764,1795,1844
128,Summit County,OH,803,862,958,1059,1129,1185
129,Guilford County,NC,1035,1095,1276,1387,1446,1505
130,Montgomery County,OH,863,914,1020,1101,1177,1225
131,Chester County,PA,1528,1600,1806,1898,1977,2049
132,Spokane County,WA,1030,1129,1350,1414,1444,1477
133,Plymouth County,MA,1859,1992,2186,2308,2436,2564
134,Camden County,NJ,1331,1410,1662,1799,1823,1941
135,Passaic County,NJ,1590,1670,1843,2001,2145,2245
136,Sedgwick County,KS,826,862,944,1019,1076,1118
137,Greenville County,SC,1132,1187,1337,1440,1491,1567
138,Kane County,IL,1498,1569,1743,1890,2004,2118
139,Adams County,CO,1519,1562,1745,1839,1888,1900
140,Morris County,NJ,2185,2227,2471,2684,2786,2872
141,Clark County,WA,1418,1515,1722,1835,1815,1881
142,Lake County,IN,956,1039,1180,1226,1298,1392
143,Richmond County,NY,1831,1933,2025,2209,2318,2523
144,Sonoma County,CA,2148,2183,2388,2485,2577,2653
145,Polk County,IA,1005,1034,1096,1159,1186,1212
146,Ada County,ID,1271,1431,1663,1707,1714,1784
147,Washoe County,NV,1439,1562,1737,1762,1774,1834
148,Prince William County,VA,1661,1718,1902,1993,2122,2226
149,Knox County,TN,1128,1216,1454,1653,1762,1815
150,Onondaga County,NY,1083,1146,1298,1382,1506,1594
151,Tulare County,CA,1201,1311,1594,1631,1707,1779
152,Seminole County,FL,1358,1406,1699,1827,1836,1854
153,Hampden County,MA,1171,1245,1371,1533,1653,1716
154,Burlington County,NJ,1518,1613,1849,2003,2103,2258
155,Virginia Beach City,VA,1363,1456,1667,1781,1850,1937
156,East Baton Rouge Parish,LA,1078,1108,1228,1249,1294,1325
157,York County,PA,946,1014,1107,1177,1241,1301
158,Solano County,CA,1982,2125,2293,2326,2366,2465
159,Santa Barbara County,CA,2433,2578,3156,3384,3414,3650
160,Jefferson Parish,LA,1209,1269,1439,1493,1554,1648
161,Monterey County,CA,2012,2115,2333,2497,2555,2766
162,Dakota County,MN,1335,1399,1467,1503,1573,1627
163,Lucas County,OH,766,798,902,969,1035,1097
164,Sarasota County,FL,1578,1666,2183,2357,2309,2369
165,Berks County,PA,872,966,1080,1184,1251,1386
166,Pinal County,AZ,1278,1490,1776,1820,1861,1875
167,Hillsborough County,NH,1409,1513,1746,1880,1977,2052
168,Cameron County,TX,976,1038,1165,1294,1332,1372
169,Clackamas County,OR,1457,1521,1713,1859,1855,1930
170,Richland County,SC,1058,1121,1275,1380,1473,1552
171,Mobile County,AL,857,904,1033,1133,1227,1263
172,Loudoun County,VA,1853,1897,2108,2262,2346,2473
173,Genesee County,MI,742,802,901,945,986,1069
174,Waukesha County,WI,1263,1294,1418,1487,1579,1678
175,Charleston County,SC,1400,1446,1686,1897,2023,2085
176,Saint Charles County,MO,1205,1265,1411,1535,1585,1650
177,Placer County,CA,1903,2097,2341,2345,2456,2514
178,Orange County,NY,1478,1635,1823,1989,2092,2198
179,Pulaski County,AR,859,922,1025,1067,1129,1156
180,Manatee County,FL,1453,1545,2003,2131,2138,2183
181,Butler County,OH,1034,1095,1232,1328,1394,1462
182,Mercer County,NJ,1795,1863,2079,2255,2414,2520
183,Orleans Parish,LA,1314,1351,1492,1560,1605,1656
184,Madison County,AL,1019,1147,1328,1388,1423,1434
185,Allen County,IN,798,851,992,1062,1115,1185
186,Forsyth County,NC,1042,1135,1311,1410,1475,1550
187,Lane County,OR,1338,1419,1592,1730,1761,1864
188,Osceola County,FL,1496,1574,1917,2065,2070,2094
189,Lake County,FL,1427,1478,1805,1927,2004,2056
190,Stark County,OH,733,783,861,954,1024,1078
191,Collier County,FL,1826,1915,2627,2920,2950,2950
192,Washtenaw County,MI,1735,1783,1958,2118,2201,2301
193,Lehigh County,PA,1229,1322,1562,1609,1669,1774
194,Marion County,FL,1034,1168,1414,1500,1505,1576
195,Brazoria County,TX,1407,1408,1563,1623,1650,1714
196,Bell County,TX,949,1038,1262,1313,1325,1351
197,Hamilton County,TN,1066,1149,1355,1439,1500,1527
198,Anoka County,MN,1247,1316,1389,1451,1507,1565
199,Chesterfield County,VA,1225,1298,1501,1597,1622,1728
200,Davis County,UT,1300,1406,1641,1718,1763,1821
201,Westmoreland County,PA,817,849,902,972,1029,1069
202,Larimer County,CO,1434,1465,1638,1747,1839,1870
203,Nueces County,TX,1163,1210,1343,1358,1404,1426
204,Douglas County,CO,1716,1766,1956,2075,2159,2141
205,Galveston County,TX,1259,1293,1444,1524,1587,1650
206,Horry County,SC,1181,1250,1485,1630,1670,1730
