SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025,swing
95,Lawrenceville,GA,1478,1595,1923,2004,2017,2060,TRUE
96,Chula Vista,CA,2170,2278,2666,2924,3012,3109,FALSE
97,Boise,ID,1185,1326,1553,1594,1608,1675,FALSE
98,Richmond,VA,1099,1155,1297,1397,1451,1533,FALSE
99,Gilbert,AZ,1524,1686,2008,2055,2065,2083,TRUE
100,Winston-Salem,NC,1018,1113,1291,1379,1446,1517,TRUE
101,Madison,WI,1212,1225,1305,1422,1552,1628,TRUE
102,Laredo,TX,979,982,1088,1148,1246,1262,FALSE
103,North Las Vegas,NV,1360,1499,1819,1804,1838,1895,TRUE
104,San Bernardino,CA,1333,1458,1666,1867,1952,2025,FALSE
105,Lakeland,FL,1183,1286,1572,1667,1721,1771,FALSE
106,Fort Myers,FL,1229,1301,1711,1956,1843,1813,FALSE
107,Irving,TX,1339,1330,1612,1710,1680,1668,FALSE
108,Mobile,AL,866,910,1041,1138,1231,1265,FALSE
109,Glendale,AZ,1198,1329,1617,1653,1631,1650,TRUE
110,Pensacola,FL,1081,1203,1464,1530,1570,1616,FALSE
111,Anchorage,AK,1266,1306,1402,1531,1620,1681,FALSE
112,Chesapeake,VA,1392,1472,1678,1749,1829,1919,FALSE
113,Sarasota,FL,1588,1675,2224,2383,2379,2400,FALSE
114,Fayetteville,NC,890,1009,1207,1298,1342,1410,TRUE
115,Birmingham,AL,937,993,1094,1144,1189,1250,FALSE
116,Hialeah,FL,1591,1623,1882,2347,2432,2463,FALSE
117,Garland,TX,1205,1253,1481,1565,1585,1607,FALSE
118,Kissimmee,FL,1502,1562,1911,2068,2072,2081,FALSE
119,Arlington,VA,2175,2002,2261,2357,2473,2594,FALSE
120,Scottsdale,AZ,1668,1788,2261,2233,2272,2284,TRUE
121,Norfolk,VA,1107,1179,1313,1421,1488,1594,FALSE
122,Ocala,FL,1028,1156,1411,1495,1487,1560,FALSE
123,Santa Clarita,CA,2141,2238,2516,2609,2734,2850,FALSE
124,Fremont,CA,2668,2583,2758,2851,2872,2963,FALSE
125,Fontana,CA,2202,2407,2744,3025,3086,3230,FALSE
126,Springfield,MO,837,904,1048,1119,1147,1194,FALSE
127,Greenville,SC,1107,1158,1310,1412,1461,1543,FALSE
128,Boca Raton,FL,1929,2032,2778,2843,2885,2937,FALSE
129,Grand Rapids,MI,1256,1325,1504,1603,1700,1777,TRUE
130,Bradenton,FL,1307,1371,1791,1912,1893,1942,FALSE
131,Little Rock,AR,887,941,1039,1084,1156,1177,FALSE
132,Gainesville,FL,1169,1198,1452,1534,1589,1636,FALSE
133,Port Saint Lucie,FL,NA,NA,2161,2251,2268,2376,FALSE
134,Tacoma,WA,1341,1412,1599,1658,1703,1762,FALSE
135,Woodbridge,VA,1624,1681,1857,1947,2067,2180,FALSE
136,Amarillo,TX,1053,1085,1198,1285,1319,1368,FALSE
137,Des Moines,IA,922,949,1014,1065,1092,1111,FALSE
138,Savannah,GA,1136,1180,1448,1608,1695,1736,TRUE
139,Oxnard,CA,1991,2170,2499,2591,2732,2919,FALSE
140,Santa Rosa,CA,2076,2086,2305,2424,2485,2568,FALSE
141,Huntsville,AL,963,1092,1276,1339,1371,1389,FALSE
142,Akron,OH,734,799,890,986,1060,1118,FALSE
143,Wilmington,NC,1166,1236,1469,1612,1639,1649,TRUE
144,Brownsville,TX,NA,NA,1241,1358,1401,1489,FALSE
145,Yonkers,NY,1939,1941,2107,2206,2367,2535,FALSE
146,Eugene,OR,1393,1471,1643,1785,1817,1928,FALSE
147,Corona,CA,1943,2092,2388,2511,2589,2680,FALSE
148,Dayton,OH,811,865,955,1041,1119,1173,FALSE
149,Syracuse,NY,1015,1068,1216,1300,1414,1488,FALSE
150,Montgomery,AL,902,955,1081,1129,1187,1260,FALSE
151,Alexandria,VA,1851,1778,1971,2027,2121,2246,FALSE
152,Oceanside,CA,2095,2204,2543,2769,2861,2994,FALSE
153,Trenton,NJ,1415,1481,1655,1833,2000,2169,FALSE
154,Moreno Valley,CA,1625,1838,2214,2279,2302,2392,FALSE
155,Shreveport,LA,801,859,920,953,985,1057,FALSE
156,Wilmington,DE,1166,1243,1436,1523,1620,1716,FALSE
157,Murfreesboro,TN,1262,1325,1524,1646,1668,1737,FALSE
158,West Palm Beach,FL,1414,1514,2029,2158,2220,2290,FALSE
159,Worcester,MA,1380,1459,1614,1789,1901,2064,FALSE
160,Fort Collins,CO,1392,1421,1588,1702,1789,1817,FALSE
161,Salt Lake City,UT,1250,1289,1519,1599,1619,1627,FALSE
162,Beaverton,OR,1476,1501,1736,1874,1850,1890,FALSE
163,Salinas,CA,1771,1886,2163,2178,2270,2482,FALSE
164,Frisco,TX,1383,1418,1728,1803,1778,1750,FALSE
165,McKinney,TX,1394,1451,1778,1811,1804,1769,FALSE
166,Sioux Falls,SD,881,908,1029,1118,1150,1171,FALSE
167,Glendale,CA,2274,2202,2462,2647,2710,2823,FALSE
168,Reading,PA,772,877,1003,1102,1179,1291,TRUE
169,Lancaster,CA,1752,1968,2150,2407,2561,2612,FALSE
170,Huntington Beach,CA,2362,2414,2769,2895,3025,3151,FALSE
171,Cape Coral,FL,1380,1511,1943,2166,2187,2120,FALSE
172,Lake Worth Beach,FL,1436,1553,1951,2187,2275,2324,FALSE
173,Hayward,CA,2392,2346,2475,2579,2633,2633,FALSE
174,Salem,OR,1168,1246,1393,1526,1563,1623,FALSE
175,Clarksville,TN,1004,1075,1257,1313,1357,1410,FALSE
176,Grand Prairie,TX,1303,1356,1603,1690,1676,1687,FALSE
177,Charleston,SC,1464,1501,1747,1979,2098,2161,FALSE
178,Aurora,IL,1578,1684,1851,2020,2179,2284,FALSE
179,Peoria,AZ,1362,1496,1820,1836,1838,1865,TRUE
180,Cypress,TX,1521,1594,1814,1891,1913,1984,FALSE
181,Providence,RI,1429,1506,1671,1841,1982,2054,FALSE
182,Whittier,CA,1858,1947,2136,2295,2412,2488,FALSE
183,Overland Park,KS,1228,1234,1400,1524,1603,1702,FALSE
184,Henrico,VA,1239,1302,1510,1606,1607,1712,FALSE
185,Palmdale,CA,1925,2119,2356,2613,2812,2931,FALSE
186,Fredericksburg,VA,1359,1433,1632,1736,1837,1967,FALSE
187,Chattanooga,TN,1066,1147,1348,1425,1496,1516,FALSE
188,Homestead,FL,1563,1638,2016,2355,2386,2549,FALSE
189,Cumming,GA,1516,1649,1915,2058,2125,2147,TRUE
190,Fort Lauderdale,FL,1790,1883,2361,2573,2644,2691,FALSE
191,Elk Grove,CA,1937,2129,2423,2465,2536,2609,FALSE
192,Rockford,IL,784,855,929,989,1112,1162,FALSE
193,Columbus,GA,838,920,1072,1097,1148,1207,TRUE
194,Evansville,IN,710,742,828,871,949,1007,FALSE
195,Erie,PA,701,719,790,862,938,1006,TRUE
196,Edmond,OK,1322,1368,1523,1575,1626,1689,FALSE
197,York,PA,892,962,1054,1122,1180,1251,TRUE
198,Ontario,CA,1851,2018,2376,2428,2470,2564,FALSE
199,Killeen,TX,874,957,1179,1216,1232,1256,FALSE
200,Allentown,PA,1117,1208,1428,1476,1543,1642,TRUE
